timestamp,rule_id,rule_description,rule_level,agent_name,agent_id,agent_ip,src_ip,dst_ip
2025-11-22T19:35:04.884Z,100072,Aizdomīga diskshadow palaišana ar skripta parametru (iespējama VSS ēnkopiju ļaunprātīga izmantošana),10,DC-2019,002,10.99.10.10,,10.99.10.10
2025-11-22T19:35:05.713Z,100075,Aizdomīga NTDS.dit faila piekļuve pa SMB (iespējama NTDS datubāzes eksfiltrācija tīklā),12,sensor,001,10.99.10.21,10.99.20.30,10.99.10.10
2025-11-22T19:35:05.586Z,100073,Aizdomīga diskshadow palaišana no komandrindas / attālās izpildes rīka (iespējama VSS izmantošana piekļuves datu iegūšanai),10,DC-2019,002,10.99.10.10,,10.99.10.10
2025-11-22T19:35:06.635Z,100073,Aizdomīga diskshadow palaišana no komandrindas / attālās izpildes rīka (iespējama VSS izmantošana piekļuves datu iegūšanai),10,DC-2019,002,10.99.10.10,,10.99.10.10
